Soft17Hit:false	Surrender:false	DoubleAfterSplit:false	
Win:1.000000	Tie:0.000000	Lose:-1.000000	BlackJack:1.500000	
A:4	2:4	3:4	4:4	5:4	6:4	7:4	8:4	9:4	T:16	
Player:6 7 	Dealer:5	Stand:-0.128821	Hit:0.16257	Double:0.158338	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.16257
Player:6 7 	Dealer:4	Stand:-0.158372	Hit:0.129135	Double:0.117379	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.129135
Player:6 7 	Dealer:3	Stand:-0.214771	Hit:0.0714606	Double:0.0174655	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0714606
Player:6 7 	Dealer:2	Stand:-0.265046	Hit:0.0256803	Double:-0.0759989	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0256803
Player:6 7 	Dealer:A	Stand:-0.746619	Hit:-0.445214	Double:-1.02584	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.445214
Player:6 6 	Dealer:T	Stand:-0.588725	Hit:-0.205977	Double:-0.63591	Split:-0.411954	WhattoDo:Hit   	ExpectedValue:-0.205977
Player:6 6 	Dealer:9	Stand:-0.548502	Hit:-0.1299	Double:-0.521647	Split:-0.2598	WhattoDo:Hit   	ExpectedValue:-0.1299
Player:6 6 	Dealer:8	Stand:-0.535771	Hit:-0.0525798	Double:-0.406766	Split:-0.10516	WhattoDo:Hit   	ExpectedValue:-0.0525798
Player:6 6 	Dealer:7	Stand:-0.493437	Hit:0.00131344	Double:-0.265446	Split:0.00262688	WhattoDo:Split 	ExpectedValue:0.00262688
Player:6 6 	Dealer:6	Stand:-0.165187	Hit:0.180772	Double:0.146612	Split:0.361545	WhattoDo:Split 	ExpectedValue:0.361545
Player:6 6 	Dealer:5	Stand:-0.102166	Hit:0.238508	Double:0.249108	Split:0.477015	WhattoDo:Split 	ExpectedValue:0.477015
Player:6 6 	Dealer:4	Stand:-0.151883	Hit:0.172219	Double:0.160686	Split:0.344438	WhattoDo:Split 	ExpectedValue:0.344438
Player:6 6 	Dealer:3	Stand:-0.211033	Hit:0.115259	Double:0.0581497	Split:0.230517	WhattoDo:Split 	ExpectedValue:0.230517
Player:6 6 	Dealer:2	Stand:-0.261714	Hit:0.0679727	Double:-0.0360483	Split:0.135945	WhattoDo:Split 	ExpectedValue:0.135945
Player:6 6 	Dealer:A	Stand:-0.742068	Hit:-0.40547	Double:-0.995004	Split:-0.81094	WhattoDo:Hit   	ExpectedValue:-0.40547
Player:5 T 	Dealer:T	Stand:-0.576112	Hit:-0.273127	Double:-0.616565	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.273127
Player:5 T 	Dealer:9	Stand:-0.535093	Hit:-0.187615	Double:-0.457877	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.187615
Player:5 T 	Dealer:8	Stand:-0.524234	Hit:-0.122266	Double:-0.340677	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.122266
Player:5 T 	Dealer:7	Stand:-0.478497	Hit:-0.0628909	Double:-0.187278	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0628909
Player:5 T 	Dealer:6	Stand:-0.154176	Hit:0.108314	Double:0.140437	Split:undefined	WhattoDo:Double	ExpectedValue:0.140437
Player:5 T 	Dealer:5	Stand:-0.135683	Hit:0.104599	Double:0.136211	Split:undefined	WhattoDo:Double	ExpectedValue:0.136211
Player:5 T 	Dealer:4	Stand:-0.190687	Hit:0.0459991	Double:0.042134	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0459991
Player:5 T 	Dealer:3	Stand:-0.247378	Hit:0.00524285	Double:-0.0403408	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.00524285
Player:5 T 	Dealer:2	Stand:-0.294783	Hit:-0.0253035	Double:-0.102505	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0253035
Player:5 T 	Dealer:A	Stand:-0.770436	Hit:-0.479448	Double:-1.01186	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.479448
Player:5 9 	Dealer:T	Stand:-0.57271	Hit:-0.242345	Double:-0.60099	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.242345
Player:5 9 	Dealer:9	Stand:-0.531402	Hit:-0.150478	Double:-0.436391	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.150478
Player:5 9 	Dealer:8	Stand:-0.520326	Hit:-0.0843958	Double:-0.331114	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0843958
Player:5 9 	Dealer:7	Stand:-0.499719	Hit:-0.0644853	Double:-0.260203	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0644853
Player:5 9 	Dealer:6	Stand:-0.1501	Hit:0.145025	Double:0.164624	Split:undefined	WhattoDo:Double	ExpectedValue:0.164624
Player:5 9 	Dealer:5	Stand:-0.131352	Hit:0.144164	Double:0.171747	Split:undefined	WhattoDo:Double	ExpectedValue:0.171747
Player:5 9 	Dealer:4	Stand:-0.185886	Hit:0.0830645	Double:0.0766275	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0830645
Player:5 9 	Dealer:3	Stand:-0.243558	Hit:0.0360316	Double:-0.0148621	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0360316
Player:5 9 	Dealer:2	Stand:-0.269314	Hit:0.0227278	Double:-0.0423632	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.0227278
Player:5 9 	Dealer:A	Stand:-0.766596	Hit:-0.45294	Double:-1.00174	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.45294
Player:5 8 	Dealer:T	Stand:-0.56902	Hit:-0.244104	Double:-0.653402	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.244104
Player:5 8 	Dealer:9	Stand:-0.527475	Hit:-0.14131	Double:-0.47964	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.14131
Player:5 8 	Dealer:8	Stand:-0.541529	Hit:-0.108979	Double:-0.452671	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.108979
Player:5 8 	Dealer:7	Stand:-0.493922	Hit:-0.0465941	Double:-0.294144	Split:undefined	WhattoDo:Hit   	ExpectedValue:-0.0465941
Player:5 8 	Dealer:6	Stand:-0.14604	Hit:0.163617	Double:0.147444	Split:undefined	WhattoDo:Hit   	ExpectedValue:0.163617
